nama_kos,lokasi,kota,harga,tipe_kos,Kasur,AC,WiFi,K. Mandi Dalam,Kloset Duduk,Lemari,Meja,Dapur,Parkir Motor,Parkir Mobil,Mesin Cuci,Laundry,Akses 24 Jam,Air Panas
Kost Niaga STAN Tipe B,Pondok Aren,Surabaya,Rp990.000,Putri,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Niaga STAN Tipe C,Pondok Aren,Surabaya,Rp765.000,Putri,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hitz Tipe B,Kecamatan Pondok Aren,Surabaya,Rp1.700.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Sunday Bintaro Executive,Kecamatan Pondok Aren,Surabaya,Rp1.850.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hitz Tipe A,Kecamatan Pondok Aren,Surabaya,Rp1.300.000,Putri,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Ibu Yayah,Kecamatan Pondok Aren,Surabaya,Rp900.000,Campur,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Alvania Tipe A,Ciputat Timur,Surabaya,Rp1.700.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Ombas,Kecamatan Pondok Aren,Surabaya,Rp700.000,Putra,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Tiara Asrii Tipe B,Kecamatan Pondok Aren,Surabaya,Rp1.700.000,Putri,Tidak,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Niaga STAN Tipe A,Pondok Aren,Surabaya,Rp999.000,Putri,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Griya Tentrem Bintaro Tipe A,Pondok Aren,Surabaya,Rp725.000,Campur,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Bu Hj Sarmi Tipe A,Kecamatan Pondok Aren,Surabaya,Rp650.000,Putra,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Bintaro Sektor 3A Dekat STAN Tipe C,Kecamatan Pondok Aren,Surabaya,Rp1.800.000,Campur,Ada,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Niaga STAN Tipe D,Pondok Aren,Surabaya,Rp585.000,Putri,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost STAN Bintaro Andalusia Tipe D,Pondok Aren,Surabaya,Rp1.225.000,Putra,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Alvania Tipe D,Ciputat Timur,Surabaya,Rp1.650.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Bintaro Sektor 9,Kecamatan Ciputat,Surabaya,Rp1.800.000,Campur,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Putri Mawar PJMI Tipe A Bintaro,Kecamatan Pondok Aren,Surabaya,Rp1.475.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Arum Asri 1 Tipe Kmd,Kecamatan Pondok Aren,Surabaya,Rp900.000,Putra,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
