nama_kos,lokasi,kota,harga,tipe_kos,Kasur,AC,WiFi,K. Mandi Dalam,Kloset Duduk,Lemari,Meja,Dapur,Parkir Motor,Parkir Mobil,Mesin Cuci,Laundry,Akses 24 Jam,Air Panas
Kost Puri Purbasari Bintaro Studio Room 014,Kecamatan Pondok Aren,Surabaya,Rp2.250.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost District 39 Tipe Standart,Kecamatan Ciputat Timur,Surabaya,Rp1.300.000,Campur,Ada,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Omahku,Pondok Aren,Surabaya,Rp1.250.000,Putri,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Arsyila Tipe A1,Kecamatan Ciputat Timur,Surabaya,Rp675.000,Putri,Ada,Tidak,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Pondok Ranji Standard,Ciputat Timur,Surabaya,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Aleeza Tipe A,Ciputat Timur,Surabaya,Rp1.100.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Arsyila Tipe B1,Kecamatan Ciputat Timur,Surabaya,Rp650.000,Putri,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bhyant Studio Bintaro Pondok Ranji Tipe A Selatan,Ciputat Timur,Surabaya,Rp1.350.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Pondok Ranji Tipe D,Ciputat Timur,Surabaya,Rp1.300.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Mawar 88 Tipe A2,Pondok Aren,Surabaya,Rp2.200.000,Campur,Ada,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bintaro Sektor 7 Tipe B,Kecamatan Ciputat,Surabaya,Rp1.550.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Puri Purbasari Co Living Executive 02,Kecamatan Pondok Aren,Surabaya,Rp1.750.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Cikini 3 Bintaro,Pondok Aren,Surabaya,Rp700.000,Campur,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bintaro Jaya 9 Superior,Pondok Aren,Surabaya,Rp1.600.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hooni Home Tipe Double,Kecamatan Pondok Aren,Surabaya,Rp2.900.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Omahe He Ra Tipe Executive,Pondok Aren,Surabaya,Rp2.250.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Mawar 88 Tipe B1,Pondok Aren,Surabaya,Rp2.350.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost House of Danish Selatan,Ciputat Timur,Surabaya,Rp1.700.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Sudut Menjangan,Kecamatan Ciputat Timur,Surabaya,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Puri Purbasari Co Living Executive Single Room 12,Kecamatan Pondok Aren,Surabaya,Rp1.150.000,Campur,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Rumah Teduh Tipe A,Kecamatan Pondok Aren,Surabaya,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Puri Purbasari Bintaro Studio Room 010,Kecamatan Pondok Aren,Surabaya,Rp2.000.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Pavilliun 8,Kecamatan Ciputat Timur,Surabaya,Rp2.850.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bangau Bintaro A,Pondok Aren,Surabaya,Rp2.200.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Damayanti Tipe C,Kecamatan Ciputat,Surabaya,Rp1.650.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Taki House Tipe B,Kecamatan Pondok Aren,Surabaya,Rp1.250.000,Putra,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Keana,Kecamatan Pondok Aren,Surabaya,Rp1.600.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Alexandria STAN,Kecamatan Pondok Aren,Surabaya,Rp650.000,Putri,Ada,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Milenial Tipe F2,Pondok Aren,Surabaya,Rp1.700.000,Putra,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Elpiji Tipe C,Ciputat Timur,Surabaya,Rp1.000.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Puri Purbasari Bintaro Grand Room Mezanine 06,Kecamatan Pondok Aren,Surabaya,Rp2.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Omah 92 Tipe Non Ac,Kecamatan Pondok Aren,Surabaya,Rp600.000,Putra,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Dhianra Tipe A Selatan,Pondok Aren,Surabaya,Rp1.500.000,Putri,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Aris Saona Tipe B,Ciputat,Surabaya,Rp1.200.000,Campur,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Nyaman Sawah Baru,Kecamatan Ciputat,Surabaya,Rp1.475.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Belle,Kecamatan Ciputat,Surabaya,Rp1.250.000,Putra,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Puri Purbasari Bintaro Single Room 011,Kecamatan Pondok Aren,Surabaya,Rp1.350.000,Campur,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Aan,Kecamatan Ciputat Timur,Surabaya,Rp1.400.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hj Maryati,Ciputat,Surabaya,Rp1.000.000,Putri,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Puri Purbasari Co Living Grand Room 05,Kecamatan Pondok Aren,Surabaya,Rp2.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Afiya Tipe A,Ciputat Timur,Surabaya,Rp950.000,Putra,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Puri Purbasari Bintaro Grand Room 04,Kecamatan Pondok Aren,Surabaya,Rp2.800.000,Campur,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Teduh Tipe 1,Kecamatan Ciputat Timur,Surabaya,Rp1.000.000,Putri,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Murai Neneng Tipe A,Pondok Aren,Surabaya,Rp1.200.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Elpiji Tipe E,Ciputat Timur,Surabaya,Rp950.000,Putri,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Pasmod Bintaro,Kecamatan Ciputat,Surabaya,Rp1.350.000,Campur,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Puri Purbasari Co Living Studio,Kecamatan Pondok Aren,Surabaya,Rp1.900.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Wildan,Ciputat Timur,Surabaya,Rp750.000,Putri,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Hj Khomsiyah Tipe A,Kecamatan Ciputat,Surabaya,Rp1.000.000,Campur,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Anggrek Tipe C,Kecamatan Ciputat Timur,Surabaya,Rp775.000,Putri,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Bintaro Sektor 7 Tipe C,Kecamatan Ciputat,Surabaya,Rp1.450.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Elpiji Tipe I,Ciputat Timur,Surabaya,Rp900.000,Putri,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Ero Residence,Ciputat Timur,Surabaya,Rp1.700.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Fanuel Vip Executive,Kecamatan Pondok Aren,Surabaya,Rp1.900.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bhyant Studio Bintaro Pondok Ranji Tipe B,Ciputat Timur,Surabaya,Rp1.150.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Elpiji Tipe A,Ciputat Timur,Surabaya,Rp1.100.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hidayah Tipe E,Kecamatan Pondok Aren,Surabaya,Rp950.000,Putra,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Wisma Antique,Kecamatan Pondok Aren,Surabaya,Rp1.200.000,Campur,Tidak,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bu Tia UPJ Tipe A Bintaro Tangerang,Ciputat,Surabaya,Rp1.700.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hai 2 Tipe C AC Furnish,Ciputat Timur,Surabaya,Rp1.550.000,Campur,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Fanila Syariah,Kecamatan Ciputat,Surabaya,Rp1.000.000,Campur,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Taki House Tipe C,Pondok Aren,Surabaya,Rp850.000,Putri,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Taki House Tipe A,Pondok Aren,Surabaya,Rp850.000,Putra,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Puri Purbasari Co Living Grand Room 04 Lantai 1,Kecamatan Pondok Aren,Surabaya,Rp2.800.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hai 2 Tipe B,Ciputat Timur,Surabaya,Rp1.850.000,Campur,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Hepi Golaq Executive,Pondok Aren,Surabaya,Rp650.000,Putra,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bintaro Jaya 9 Tipe B,Pondok Aren,Surabaya,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Dekat I Vip,Kecamatan Pondok Aren,Surabaya,Rp1.450.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Puri Purbasari Bintaro Grand Room 05,Kecamatan Pondok Aren,Surabaya,Rp2.800.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Arga Wilis Tipe Vip,Kecamatan Pondok Aren,Surabaya,Rp2.200.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bon Kop,Kecamatan Pondok Aren,Surabaya,Rp5.000.000,Campur,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Dhomee Tipe Kecil,Kecamatan Ciputat Timur,Surabaya,Rp1.700.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bella Dina Tipe A,Kecamatan Ciputat Timur,Surabaya,Rp1.200.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Fanartha Deluxe,Kecamatan Pondok Aren,Surabaya,Rp1.550.000,Putri,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Bintaro Jaya 9 Tipe Superior,Kecamatan Ciputat,Surabaya,Rp1.400.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Perum 10 Ds Deluxe,Pondok Aren,Surabaya,Rp1.550.000,Putri,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Fanuel 2 Vvip Suite,Kecamatan Pondok Aren,Surabaya,Rp2.100.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Kirania Tipe B1,Kecamatan Pondok Aren,Surabaya,Rp700.000,Putri,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Milenial Tipe F,Pondok Aren,Surabaya,Rp1.600.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bintaro Jaya 9 Executive Room,Kecamatan Ciputat,Surabaya,Rp1.400.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Adikara 101 Tipe B,Ciputat Timur,Surabaya,Rp1.950.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost House Of Tamara Tipe A,Pondok Aren,Surabaya,Rp1.600.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Mentari 16 Tipe A,Kecamatan Pondok Aren,Surabaya,Rp1.100.000,Campur,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Niaga,Kecamatan Pondok Aren,Surabaya,Rp700.000,Putri,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bintaro 666 Tipe B,Kecamatan Pondok Aren,Surabaya,Rp999.999,Putra,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Dhomee Tipe Besar,Kecamatan Ciputat Timur,Surabaya,Rp2.000.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Tiara Asri Vip Room,Pondok Aren,Surabaya,Rp3.100.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Syariah Pondok Marina 1 Tipe Kamar A,Kecamatan Pondok Aren,Surabaya,Rp1.000.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hayashi Home Bintaro Tipe A,Pondok Aren,Surabaya,Rp1.350.000,Campur,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Puri Purbasari Bintaro Studio Room 07,Kecamatan Pondok Aren,Surabaya,Rp2.000.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Arga Wilis Tipe B,Kecamatan Pondok Aren,Surabaya,Rp1.800.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Adikara 101 Tipe A,Ciputat Timur,Surabaya,Rp1.750.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hitz Tipe E,Kecamatan Pondok Aren,Surabaya,Rp1.690.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Milenial Tipe C,Pondok Aren,Surabaya,Rp1.450.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Milenial Tipe A,Pondok Aren,Surabaya,Rp1.300.000,Putra,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Mama Haykal,Kecamatan Ciputat,Surabaya,Rp750.000,Campur,Ada,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Fanartha 1,Pondok Aren,Surabaya,Rp1.650.000,Putri,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Teduh Tipe 2,Kecamatan Ciputat Timur,Surabaya,Rp900.000,Putri,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Nada Ibu Hamida,Pondok Aren,Surabaya,Rp800.000,Putri,Ada,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Damayanti Tipe B Tangerang,Ciputat,Surabaya,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost House Of Tamara Tipe B,Pondok Aren,Surabaya,Rp1.500.000,Campur,Ada,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Rumah Langit STAN,Kecamatan Pondok Aren,Surabaya,Rp700.000,Putra,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Makassar Tipe A,Ciputat,Surabaya,Rp830.000,Campur,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Ellada Garden,Ciputat Timur,Surabaya,Rp2.300.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Bie Xce,Ciputat,Surabaya,Rp700.000,Putri,Ada,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Perkici Pondok Aren,Ciputat Timur,Surabaya,Rp1.100.000,Putri,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Urban Home Tipe B,Kecamatan Ciputat,Surabaya,Rp1.900.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Aliesha Eksklusif,Kecamatan Ciputat Timur,Surabaya,Rp1.800.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Dhianra Tipe B Selatan,Pondok Aren,Surabaya,Rp850.000,Putri,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Milenial Tipe E,Pondok Aren,Surabaya,Rp1.820.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Ndoro Ayu,Kecamatan Ciputat Timur,Surabaya,Rp1.500.000,Campur,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Mandaru 18 Tipe A,Kecamatan Pondok Aren,Surabaya,Rp1.100.000,Putra,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Puri Purbasari Co Living Grand Room 04,Kecamatan Pondok Aren,Surabaya,Rp2.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Elpiji Tipe B,Ciputat Timur,Surabaya,Rp1.100.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Milenial Tipe B,Pondok Aren,Surabaya,Rp1.395.000,Putra,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Wisma Al Izzah Pak Akim Tipe A,Kecamatan Pondok Aren,Surabaya,Rp550.000,Putra,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Plaza Bintaro 3,Pondok Aren,Surabaya,Rp500.000,Campur,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Elpiji Tipe D,Ciputat Timur,Surabaya,Rp950.000,Putri,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bintaro Exchanged,Ciputat,Surabaya,Rp1.400.088,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Tiara Asri Tipe B,Pondok Aren,Surabaya,Rp1.700.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Puri Purbasari Co Living Executive Single Room11,Kecamatan Pondok Aren,Surabaya,Rp1.300.000,Campur,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Nako Tipe B,Pondok Aren,Surabaya,Rp1.600.000,Putri,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Enzo Bintaro,Ciputat,Surabaya,Rp1.400.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Rumah Cozy Asri Bintaro Sektor 7,Kecamatan Pondok Aren,Surabaya,Rp1.700.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
